"tratamento","bloco","colheita","n_frutos","n_frutos_cum","peso","comprimento","largura"
8,2,4,6.5,9.5,1787.5,69.0769230769231,85.1538461538462
8,2,5,4.5,14,1065,62.5555555555556,77.8888888888889
8,3,1,2,2,633.5,68,95
8,3,2,0.5,2.5,231.5,70,110
8,3,3,2,4.5,451,59.75,79.75
8,3,4,4.5,9,1320,70,88.2222222222222
8,3,5,7.5,16.5,1719,63.3333333333333,79.2666666666667
9,1,1,4,4,1552.5,73.375,96
9,1,2,0,4,0,0,0
9,1,3,1,5,253.5,61.5,80
9,1,4,7.5,12.5,2255,71.0666666666667,85.6
9,1,5,10.5,23,2578.5,65.2857142857143,79.5238095238095
9,2,1,1,1,405,67.5,110
9,2,2,1,2,401,75.5,98.5
9,2,3,1,3,394,68.5,98
9,2,4,5,8,1765,76.6,91.2
9,2,5,6.5,14.5,2060.5,68.0769230769231,88.6153846153846
9,3,1,3,3,1177.5,73.5,96.5
9,3,2,0.5,3.5,190.5,76,93
9,3,3,1,4.5,208,63.5,76.5
9,3,4,10.5,15,3391,69.8095238095238,88.0476190476191
9,3,5,3.5,18.5,1017,73,85.1428571428571
10,1,1,2,2,850.5,74,100
10,1,2,1,3,379,70,95
10,1,3,2,5,460.5,64.25,79.5
10,1,4,6,11,2160,75.8333333333333,92.0833333333333
10,1,5,4,15,1146.5,71,83.125
10,2,1,2.5,2.5,1015.5,76,95
10,2,2,1,3.5,340.5,70,86
10,2,3,2,5.5,406,63.5,73.75
10,2,4,6.5,12,2537,76.8461538461538,101.5
10,2,5,3,15,935.5,73.6666666666667,85.5
10,3,1,2,2,642,68.5,92.5
10,3,2,0,2,0,0,0
10,3,3,3,5,793,65.3333333333333,83.3333333333333
10,3,4,4.5,9.5,1134.5,64.4444444444444,81.4444444444444
10,3,5,3.5,13,1169.5,71.5714285714286,90.4285714285714
11,1,1,4,4,1411,69,95
11,1,2,1,5,226,66,77
11,1,3,2,7,370,60.5,74
11,1,4,12,19,3712,73.9166666666667,85.5833333333333
11,1,5,4,23,685,60.25,65.75
11,2,1,0,0,0,0,0
11,2,2,0,0,0,0,0
11,2,3,1.5,1.5,346.5,60.6666666666667,78.6666666666667
11,2,4,7,8.5,2209,72.7142857142857,88.8571428571429
11,2,5,3,11.5,920,69.6666666666667,87.3333333333333
11,3,1,3,3,1216.5,73.5,101
11,3,2,3.5,6.5,1244,64.5714285714286,81.8571428571429
11,3,3,2.5,9,739,69.2,86.4
11,3,4,5,14,1467,72.3,85.3
11,3,5,5,19,1345,69.1,79.7
12,1,1,0.5,0.5,148.5,77,87
12,1,2,2,2.5,802.5,72.25,96.5
12,1,3,2.5,5,785.5,71.2,89.6
12,1,4,4.5,9.5,1599.5,73,93
12,1,5,5,14.5,1552,69.9,92
12,2,1,1,1,366.5,65.5,100.5
12,2,2,1,2,279,63.5,86
12,2,3,2,4,687.5,68.5,91
12,2,4,6.5,10.5,2048,71.6153846153846,87.6923076923077
12,2,5,5,15.5,1340,70.1,81.9
12,3,1,0,0,0,0,0
12,3,2,2,2,676,74.5,91
12,3,3,3,5,944.5,69.3333333333333,91.8333333333333
12,3,4,6.5,11.5,1958,72.5384615384615,86.8461538461538
12,3,5,4.5,16,1175,66.1111111111111,80.6666666666667
